isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;512;HOUSEKEEPING AND RESTAURANT SERVICES WORKERS ;5123;Waiters, waitresses and bartenders
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;513;PERSONAL CARE AND RELATED WORKERS ;5131;Child-care workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;513;PERSONAL CARE AND RELATED WORKERS ;5132;Institution-based personal care workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;513;PERSONAL CARE AND RELATED WORKERS ;5133;Home-based personal care workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;513;PERSONAL CARE AND RELATED WORKERS ;5139;Personal care and related workers not elsewhere classified
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;514;OTHER PERSONAL SERVICES WORKERS ;5141;Hairdressers, barbers, beauticians and related workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;514;OTHER PERSONAL SERVICES WORKERS ;5142;Companions and valets
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;514;OTHER PERSONAL SERVICES WORKERS ;5143;Undertakers and embalmers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;514;OTHER PERSONAL SERVICES WORKERS ;5149;Other personal services workers not elsewhere classified
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;515;ASTROLOGERS, FORTUNE-TELLERS AND RELATED WORKERS ;5151;Astrologers and related workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;515;ASTROLOGERS, FORTUNE-TELLERS AND RELATED WORKERS ;5152;Fortune-tellers, palmists and related workers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;516;PROTECTIVE SERVICES WORKERS ;5161;Fire-fighters
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;516;PROTECTIVE SERVICES WORKERS ;5162;Police officers
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;516;PROTECTIVE SERVICES WORKERS ;5163;Prison guards
5;Service Workers and Shop and Market Sales Workers;51;Personal And Protective Services Workers;516;PROTECTIVE SERVICES WORKERS ;5169;Protective services workers not elsewhere classified
5;Service Workers and Shop and Market Sales Workers;52;Models, Salespersons And Demonstrators;521;FASHION AND OTHER MODELS ;5210;Fashion and other models
5;Service Workers and Shop and Market Sales Workers;52;Models, Salespersons And Demonstrators;522;SHOP SALESPERSONS AND DEMONSTRATORS ;5220;Shop salespersons and demonstrators
5;Service Workers and Shop and Market Sales Workers;52;Models, Salespersons And Demonstrators;523;STALL AND MARKET SALESPERSONS ;5230;Stall and market salespersons
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;611;MARKET GARDENERS AND CROP GROWERS ;6111;Field crop and vegetable growers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;611;MARKET GARDENERS AND CROP GROWERS ;6112;Tree and shrub crop growers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;611;MARKET GARDENERS AND CROP GROWERS ;6113;Gardeners, horticultural and nursery growers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;611;MARKET GARDENERS AND CROP GROWERS ;6114;Mixed-crop growers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;612;MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS ;6121;Dairy and livestock producers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;612;MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS ;6122;Poultry producers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;612;MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS ;6123;Apiarists and sericulturists
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;612;MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS ;6124;Mixed-animal producers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;612;MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS ;6129;Market-oriented animal producers and related workers not elsewhere classified
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;613;MARKET-ORIENTED CROP AND ANIMAL PRODUCERS ;6130;Market-oriented crop and animal producers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;614;FORESTRY AND RELATED WORKERS ;6141;Forestry workers and loggers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;614;FORESTRY AND RELATED WORKERS ;6142;Charcoal burners and related workers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;615;FISHERY WORKERS, HUNTERS AND TRAPPERS ;6151;Aquatic-life cultivation workers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;615;FISHERY WORKERS, HUNTERS AND TRAPPERS ;6152;Inland and coastal waters fishery workers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;615;FISHERY WORKERS, HUNTERS AND TRAPPERS ;6153;Deep-sea fishery workers
6;Skilled Agricultural and Fishers Workers;61;Market-Oriented Skilled Agricultural And Fishery Workers;615;FISHERY WORKERS, HUNTERS AND TRAPPERS ;6154;Hunters and trappers
6;Skilled Agricultural and Fishers Workers;62;Subsistence Agricultural And Fishery Workers;621;SUBSISTENCE AGRICULTURAL AND FISHERY WORKERS ;6210;Subsistence agricultural and fishery workers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;711;MINERS, SHOTFIRERS, STONE CUTTERS AND CARVERS ;7111;Miners and quarry workers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;711;MINERS, SHOTFIRERS, STONE CUTTERS AND CARVERS ;7112;Shotfirers and blasters
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;711;MINERS, SHOTFIRERS, STONE CUTTERS AND CARVERS ;7113;Stone splitters, cutters and carvers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;712;BUILDING FRAME AND RELATED TRADES WORKERS ;7121;Builders, traditional materials
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;712;BUILDING FRAME AND RELATED TRADES WORKERS ;7122;Bricklayers and stonemasons
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;712;BUILDING FRAME AND RELATED TRADES WORKERS ;7123;Concrete placers, concrete finishers and related workers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;712;BUILDING FRAME AND RELATED TRADES WORKERS ;7124;Carpenters and joiners
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;712;BUILDING FRAME AND RELATED TRADES WORKERS ;7129;Building frame and related trades workers not elsewhere classified
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7131;Roofers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7132;Floor layers and tile setters
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7133;Plasterers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7134;Insulation workers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7135;Glaziers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7136;Plumbers and pipe fitters
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;713;BUILDING FINISHERS AND RELATED TRADES WORKERS ;7137;Building and related electricians
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;714;PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED TRADES WORKERS ;7141;Painters and related workers
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;714;PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED TRADES WORKERS ;7142;Varnishers and related painters
7;Crafts and Related Trades Workers;71;Extraction And Building Trades Workers;714;PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED TRADES WORKERS ;7143;Building structure cleaners
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7211;Metal moulders and coremakers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7212;Welders and flamecutters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7213;Sheet metal workers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7214;Structural-metal preparers and erectors
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7215;Riggers and cable splicers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;721;METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS ;7216;Underwater workers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;722;BLACKSMITHS, TOOL-MAKERS AND RELATED TRADES WORKERS ;7221;Blacksmiths, hammer-smiths and forging-press workers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;722;BLACKSMITHS, TOOL-MAKERS AND RELATED TRADES WORKERS ;7222;Tool-makers and related workers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;722;BLACKSMITHS, TOOL-MAKERS AND RELATED TRADES WORKERS ;7223;Machine-tool setters and setter-operators
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;722;BLACKSMITHS, TOOL-MAKERS AND RELATED TRADES WORKERS ;7224;Metal wheel-grinders, polishers and tool sharpeners
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;723;MACHINERY MECHANICS AND FITTERS ;7231;Motor vehicle mechanics and fitters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;723;MACHINERY MECHANICS AND FITTERS ;7232;Aircraft engine mechanics and fitters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;723;MACHINERY MECHANICS AND FITTERS ;7233;Agricultural- or industrial-machinery mechanics and fitters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;724;ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ;7241;Electrical mechanics and fitters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;724;ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ;7242;Electronics fitters
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;724;ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ;7243;Electronics mechanics and servicers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;724;ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ;7244;Telegraph and telephone installers and servicers
7;Crafts and Related Trades Workers;72;Metal, Machinery And Related Trades Workers;724;ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS ;7245;Electrical line installers, repairers and cable jointers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;731;PRECISION WORKERS IN METAL AND RELATED MATERIALS ;7311;Precision-instrument makers and repairers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;731;PRECISION WORKERS IN METAL AND RELATED MATERIALS ;7312;Musical instrument makers and tuners
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;731;PRECISION WORKERS IN METAL AND RELATED MATERIALS ;7313;Jewellery and precious-metal workers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;732;POTTERS, GLASS-MAKERS AND RELATED TRADES WORKERS ;7321;Abrasive wheel formers, potters and related workers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;732;POTTERS, GLASS-MAKERS AND RELATED TRADES WORKERS ;7322;Glass makers, cutters, grinders and finishers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;732;POTTERS, GLASS-MAKERS AND RELATED TRADES WORKERS ;7323;Glass engravers and etchers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;732;POTTERS, GLASS-MAKERS AND RELATED TRADES WORKERS ;7324;Glass, ceramics and related decorative painters
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;733;HANDICRAFT WORKERS IN WOOD,TEXTILE, LEATHER AND RELATED MATERIALS ;7331;Handicraft workers in wood and related materials
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;733;HANDICRAFT WORKERS IN WOOD,TEXTILE, LEATHER AND RELATED MATERIALS ;7332;Handicraft workers in textile, leather and related materials
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7341;Compositors, typesetters and related workers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7342;Stereotypers and electrotypers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7343;Printing engravers and etchers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7344;Photographic and related workers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7345;Bookbinders and related workers
7;Crafts and Related Trades Workers;73;Precision, Handicraft, Printing And Related Trades Workers;734;PRINTING AND RELATED TRADES WORKERS ;7346;Silk-screen, block and textile printers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7411;Butchers, fishmongers and related food preparers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7412;Bakers, pastry-cooks and confectionery makers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7413;Dairy-products makers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7414;Fruit, vegetable and related preservers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7415;Food and beverage tasters and graders
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;741;FOOD PROCESSING AND RELATED TRADES WORKERS ;7416;Tobacco preparers and tobacco products makers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;742;WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS ;7421;Wood treaters
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;742;WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS ;7422;Cabinet makers and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;742;WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS ;7423;Woodworking machine setters and setter-operators
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;742;WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS ;7424;Basketry weavers, brush makers and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7431;Fibre preparers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7432;Weavers, knitters and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7433;Tailors, dressmakers and hatters
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7434;Furriers and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7435;Textile, leather and related pattern-makers and cutters
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7436;Sewers, embroiderers and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;743;TEXTILE, GARMENT AND RELATED TRADES WORKERS ;7437;Upholsterers and related workers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;744;PELT, LEATHER AND SHOEMAKING TRADES WORKERS ;7441;Pelt dressers, tanners and fellmongers
7;Crafts and Related Trades Workers;74;Other Craft And Related Trades Workers;744;PELT, LEATHER AND SHOEMAKING TRADES WORKERS ;7442;Shoe-makers and related workers
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;811;MINING- AND MINERAL-PROCESSING-PLANT OPERATORS ;8111;Mining-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;811;MINING- AND MINERAL-PROCESSING-PLANT OPERATORS ;8112;Mineral-ore- and stone-processing-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;811;MINING- AND MINERAL-PROCESSING-PLANT OPERATORS ;8113;Well drillers and borers and related workers
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;812;METAL-PROCESSING-PLANT OPERATORS ;8121;Ore and metal furnace operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;812;METAL-PROCESSING-PLANT OPERATORS ;8122;Metal melters, casters and rolling-mill operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;812;METAL-PROCESSING-PLANT OPERATORS ;8123;Metal-heat-treating-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;812;METAL-PROCESSING-PLANT OPERATORS ;8124;Metal drawers and extruders
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;813;GLASS, CERAMICS AND RELATED PLANT OPERATORS ;8131;Glass and ceramics kiln and related machine operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;813;GLASS, CERAMICS AND RELATED PLANT OPERATORS ;8139;Glass, ceramics and related plant operators not elsewhere classified
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;814;WOOD-PROCESSING- AND PAPERMAKING-PLANT OPERATORS ;8141;Wood-processing-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;814;WOOD-PROCESSING- AND PAPERMAKING-PLANT OPERATORS ;8142;Paper-pulp plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;814;WOOD-PROCESSING- AND PAPERMAKING-PLANT OPERATORS ;8143;Papermaking-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8151;Crushing-, grinding- and chemical-mixing-machinery operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8152;Chemical-heat-treating-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8153;Chemical-filtering- and separating-equipment operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8154;Chemical-still and reactor operators (except petroleum and natural gas)
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8155;Petroleum- and natural-gas-refining-plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;815;CHEMICAL-PROCESSING-PLANT OPERATORS ;8159;Chemical-processing-plant operators not elsewhere classified
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;816;POWER-PRODUCTION AND RELATED PLANT OPERATORS ;8161;Power-production plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;816;POWER-PRODUCTION AND RELATED PLANT OPERATORS ;8162;Steam-engine and boiler operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;816;POWER-PRODUCTION AND RELATED PLANT OPERATORS ;8163;Incinerator, water-treatment and related plant operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;817;AUTOMATED-ASSEMBLY-LINE AND INDUSTRIAL-ROBOT OPERATORS ;8171;Automated-assembly-line operators
8;Plant and Machine Operators and Assemblers;81;Stationary-Plant And Related Operators;817;AUTOMATED-ASSEMBLY-LINE AND INDUSTRIAL-ROBOT OPERATORS ;8172;Industrial-robot operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;821;METAL- AND MINERAL-PRODUCTS MACHINE OPERATORS ;8211;Machine-tool operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;821;METAL- AND MINERAL-PRODUCTS MACHINE OPERATORS ;8212;Cement and other mineral products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;822;CHEMICAL-PRODUCTS MACHINE OPERATORS ;8221;Pharmaceutical- and toiletry-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;822;CHEMICAL-PRODUCTS MACHINE OPERATORS ;8222;Ammunition- and explosive-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;822;CHEMICAL-PRODUCTS MACHINE OPERATORS ;8223;Metal finishing-, plating- and coating-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;822;CHEMICAL-PRODUCTS MACHINE OPERATORS ;8224;Photographic-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;822;CHEMICAL-PRODUCTS MACHINE OPERATORS ;8229;Chemical-products machine operators not elsewhere classified
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;823;RUBBER- AND PLASTIC-PRODUCTS MACHINE OPERATORS ;8231;Rubber-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;823;RUBBER- AND PLASTIC-PRODUCTS MACHINE OPERATORS ;8232;Plastic-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;824;WOOD-PRODUCTS MACHINE OPERATORS ;8240;Wood-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;825;PRINTING-, BINDING- AND PAPER-PRODUCTS MACHINE OPERATORS ;8251;Printing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;825;PRINTING-, BINDING- AND PAPER-PRODUCTS MACHINE OPERATORS ;8252;Bookbinding-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;825;PRINTING-, BINDING- AND PAPER-PRODUCTS MACHINE OPERATORS ;8253;Paper-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8261;Fibre-preparing-, spinning- and winding-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8262;Weaving- and knitting-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8263;Sewing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8264;Bleaching-, dyeing- and cleaning-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8265;Fur and leather-preparing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8266;Shoemaking- and related machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;826;TEXTILE-, FUR- AND LEATHER-PRODUCTS MACHINE OPERATORS ;8269;Textile-, fur- and leather-products machine operators not elsewhere classified
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8271;Meat- and fish-processing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8272;Dairy-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8273;Grain- and spice-milling-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8274;Baked-goods, cereal and chocolate-products machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8275;Fruit-, vegetable- and nut-processing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8276;Sugar production machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8277;Tea-, coffee-, and cocoa-processing-machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8278;Brewers, wine and other beverage machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;827;FOOD AND RELATED PRODUCTS MACHINE OPERATORS ;8279;Tobacco production machine operators
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8281;Mechanical-machinery assemblers
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8282;Electrical-equipment assemblers
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8283;Electronic-equipment assemblers
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8284;Metal-, rubber- and plastic-products assemblers
